Ransomware,Company,Date,Country,Sector,Domain
0mega,Maxey Moverley,07/12/2022,UK,Professional Services,maxeymoverley.com
54bb47h,Flagship Companies Group,11/18/2021,us,Professional Services,flagshipcompaniesgroup.com
54bb47h,Allen Independent School District (Allen ISD),11/18/2021,us,Education,allenisd.org
54bb47h,Stonington Public Schools,11/18/2021,us,Education,stoningtonschools.org
54bb47h,Roc Technologies,11/19/2021,gb,Technology,roctechnologies.com
54bb47h,MCP Services LLC,11/19/2021,us,Manufacturing & Industrial Products,mcpind.com
54bb47h,Starline Supply Company,11/19/2021,us,Professional Services,starlinesupply.com
54bb47h,Trigyn Technologies Ltd,12/10/2021,us,Technology,trigyn.com
54bb47h,Social Enterprise for Canada (SEC),12/12/2021,ca,Utilities,socialenterprise.ca
54bb47h,Prenax,12/20/2021,se,Professional Services,prenax.com
54bb47h,Summit College,01/04/2022,US,Education,summitcollege.edu
54bb47h,ASL Napoli 3 Sud,1/14/2022,Italy,Healthcare & Life Sciences,aslnapoli3sud.it
54bb47h,Jaleel Holdings,1/16/2022,UAE,Financial Services,jaleelholdings.com
Ako,Gilmer - Independent School District,05/12/2020,US,Education,
Ako,Aviation Specialties Unlimited (ASU) Inc,05/12/2020,US,Technology,
Ako,The Pharmacy Westview,05/12/2020,CA,Consumer & Retail,
Ako,Jamestan Engineering LTD,05/12/2020,GB,Manufacturing & Industrial Products,
